method,n_donors,peak_rss_mb_min,peak_rss_mb_median,peak_rss_mb_max,peak_rss_mb_mean,n_sequences_min,n_sequences_max,peak_rss_gb_min,peak_rss_gb_median,peak_rss_gb_max,peak_rss_gb_mean
hamming_80,10,2100.0,24223.703125,50675.65234375,26128.228515625,785942,4923259,2.05078125,23.655960083007812,49.48794174194336,25.51584815979004
hamming_90,10,2100.0,24223.703125,50675.65234375,26128.228515625,785942,4923259,2.05078125,23.655960083007812,49.48794174194336,25.51584815979004
hamming_95,10,2100.0,24223.703125,50675.65234375,26128.228515625,785942,4923259,2.05078125,23.655960083007812,49.48794174194336,25.51584815979004
hilary,10,7900.0,19480.859375,33644.1875,20082.7015625,785942,4923259,7.71484375,19.024276733398438,32.85565185546875,19.612013244628905
scoper_spectral,10,2102.9765625,3618.4921875,6340.75,3814.911328125,785942,4923259,2.0536880493164062,3.5336837768554688,6.192138671875,3.7254993438720705
fastbcr,10,1509.2,3616.640625,8197.33203125,4149.923124999999,785942,4923259,1.473828125,3.5318756103515625,8.005207061767578,4.052659301757812
scoper_hierarchical,10,2000.0,3456.97265625,6535.875,3697.99296875,785942,4923259,1.953125,3.3759498596191406,6.3826904296875,3.6113212585449217
